CHAMPION_NAME,ITEM_NAME,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
JHIN,Pickaxe,Basic,0.125,0.3333,1.54,15,Stormrazor,Cloak Of Agility,Lord Dominik's Regards
SYNDRA,Rod Of Ages,Legendary,0.0164,0,1.75,15,Rabadon's Deathcap,,
SEJUANI,Abyssal Mask,Legendary,0.0714,1,3.29,40,Frozen Heart,Heartsteel,Knight's Vow
SHEN,Boots,Boots,0.025,0,0.63,5,Dusk And Dawn,Titanic Hydra,
GAREN,Zeal,Epic,0.0811,0.3333,0.49,20,Stridebreaker,Executioner's Calling,
URGOT,Chain Vest,Epic,0.1176,0.5,1.39,25,Black Cleaver,Sterak's Gage,Bramble Vest
BRAND,Morellonomicon,Legendary,0.1071,0.3333,2.19,25,Liandry's Torment,Rylai's Crystal Scepter,Blackfire Torch
KAISA,Amplifying Tome,Basic,0.0874,0.2222,1.52,15,Kraken Slayer,Berserker's Greaves,Guinsoo's Rageblade
NUNU,Chain Vest,Epic,0.1034,0.3333,2.99,20,Liandry's Torment,Abyssal Mask,Dead Man's Plate
JANNA,Cosmic Drive,Legendary,0.0156,1,3.88,35,Ardent Censer,Shurelya's Battlesong,Trailblazer
JHIN,The Collector,Legendary,0.3611,0.5385,2.92,15,Infinity Edge,Rapid Firecannon,Lord Dominik's Regards
RYZE,Dark Seal,Starter,0.0899,0.25,2.10,5,Rod Of Ages,Actualizer,Doran's Ring
MORGANA,Shurelya's Battlesong,Legendary,0.0769,0,4.50,15,,,
SIVIR,Vampiric Scepter,Epic,0.0667,0.6667,2.64,30,Infinity Edge,Essence Reaver,Lord Dominik's Regards
TRISTANA,Mercury's Treads,Boots,0.0154,0,1.14,15,Infinity Edge,Kraken Slayer,Navori Flickerblade
BARD,Knight's Vow,Legendary,0.0256,1,4.02,30,Bandlepipes,Dead Man's Plate,"Jak'sho, The Protean"
HWEI,Zhonya's Hourglass,Legendary,0.1818,0.5,3.16,30,Blackfire Torch,Liandry's Torment,Rabadon's Deathcap
TWISTEDFATE,Haunting Guise,Epic,0.0278,1,3.50,25,Lich Bane,Rapid Firecannon,Rod Of Ages
CAITLYN,Cloak Of Agility,Basic,0.17,0.4706,1.51,10,Infinity Edge,The Collector,Berserker's Greaves
LEONA,Mikael's Blessing,Legendary,0.0182,0,1.42,35,Bandlepipes,Protoplasm Harness,
VI,Negatron Cloak,Epic,0.1,1,2.50,25,Black Cleaver,Sundered Sky,Tunneler
EZREAL,Pickaxe,Basic,0.1385,0.5556,1.46,20,Essence Reaver,Ionian Boots Of Lucidity,Long Sword
ANIVIA,Blasting Wand,Basic,0.0556,0,2.02,10,Catalyst Of Aeons,Cloth Armor,Glowing Mote
VI,Youmuu's Ghostblade,Legendary,0.2,0.5,1.50,15,Mortal Reminder,Opportunity,
ZIGGS,Banshee's Veil,Legendary,0.0323,0,4.50,30,Luden's Companion,Shadowflame,Stormsurge
EZREAL,Sorcerer's Shoes,Boots,0.0154,0,3.38,20,Cryptbloom,Hextech Gunblade,Lich Bane
GANGPLANK,Bastionbreaker,Legendary,0.04,1,3.67,20,Essence Reaver,Infinity Edge,The Collector
LEONA,Bramble Vest,Epic,0.0727,0.5,2.61,20,Bandlepipes,Locket Of The Iron Solari,Bloodsong
MONKEYKING,Tiamat,Epic,0.1154,1,5.22,10,Eclipse,Sundered Sky,Blade Of The Ruined King
ZED,Lord Dominik's Regards,Legendary,0.1183,0.4545,2.85,25,Voltaic Cyclosword,Profane Hydra,Edge Of Night
LILLIA,Elixir Of Sorcery,Consumable,0.1429,0.5,4.67,35,Liandry's Torment,Riftmaker,Bloodletter's Curse
KLED,Profane Hydra,Legendary,0.2,1,6.00,10,Eclipse,Voltaic Cyclosword,
AMBESSA,Caulfield's Warhammer,Epic,0.1277,0.5,2.68,10,Profane Hydra,Spear Of Shojin,Eclipse
THRESH,Cloth Armor,Basic,0.2241,0.2308,1.62,10,Kindlegem,Bandlepipes,Boots Of Swiftness
GALIO,Mercury's Treads,Boots,0.2,0.6,2.64,10,Hollow Radiance,Hextech Rocketbelt,Riftmaker
ORNN,"Jak'sho, The Protean",Legendary,0.0976,0.75,2.18,30,Thornmail,Sunfire Aegis,Force Of Nature
MEL,Oblivion Orb,Epic,0.0882,0,2.08,20,Blackfire Torch,Cosmic Drive,Liandry's Torment
SHEN,Protoplasm Harness,Legendary,0.025,1,3.50,30,Dusk And Dawn,Kaenic Rookern,Titanic Hydra
LISSANDRA,Needlessly Large Rod,Basic,0.3529,0.5,2.16,25,Zhonya's Hourglass,Malignance,Shadowflame
VARUS,Recurve Bow,Epic,0.0328,0,0.69,10,Dusk And Dawn,Experimental Hexplate,Fiendish Codex
CASSIOPEIA,Needlessly Large Rod,Basic,0.0769,1,0.50,30,Mercury's Treads,Rod Of Ages,
KAISA,Zhonya's Hourglass,Legendary,0.1456,0.6,2.45,30,Guinsoo's Rageblade,Kraken Slayer,Dusk And Dawn
NIDALEE,Blasting Wand,Basic,0.0313,0,1.38,10,Echoes Of Helia,Ionian Boots Of Lucidity,Moonstone Renewer
ILLAOI,Black Cleaver,Legendary,0.125,1,2.86,10,Spirit Visage,Sterak's Gage,Sundered Sky
AHRI,Fiendish Codex,Epic,0.087,0.75,2.01,20,Blackfire Torch,Cosmic Drive,Malignance
REKSAI,Kindlegem,Epic,0.0313,1,3.33,30,Chempunk Chainsword,Phage,Spear Of Shojin
VIEGO,Titanic Hydra,Legendary,0.0177,1,2.08,20,,,
LEESIN,Sterak's Gage,Legendary,0.0417,0,3.23,25,Sundered Sky,Black Cleaver,Eclipse
NASUS,Spear Of Shojin,Legendary,0.0833,0.5,2.56,20,Trinity Force,Sterak's Gage,
VOLIBEAR,Spectre's Cowl,Epic,0.0702,0.5,2.53,20,Dusk And Dawn,Navori Flickerblade,Bandlepipes
SEJUANI,Giant's Belt,Epic,0.1429,0.5,1.09,10,Heartsteel,Unending Despair,
SION,Force Of Nature,Legendary,0.0256,0,2.25,40,"Jak'sho, The Protean",Randuin's Omen,Unending Despair
POPPY,Zeke's Convergence,Legendary,0.0526,1,3.67,20,Bandlepipes,Knight's Vow,
TEEMO,Plated Steelcaps,Boots,0.1429,1,1.50,10,Malignance,Nashor's Tooth,
NAMI,Elixir Of Sorcery,Consumable,0.0149,0.5,2.30,40,Control Ward,Echoes Of Helia,Imperial Mandate
SHACO,Berserker's Greaves,Boots,0.36,0.7778,3.18,15,Infinity Edge,Lord Dominik's Regards,Profane Hydra
IVERN,Dawncore,Legendary,0.1304,0.6667,4.44,25,Moonstone Renewer,Redemption,Ardent Censer
RYZE,Null-Magic Mantle,Basic,0.0112,0,0.30,10,Plated Steelcaps,Rod Of Ages,
XINZHAO,Eclipse,Legendary,0.15,1,2.17,10,Essence Reaver,,
SHACO,Elixir Of Sorcery,Consumable,0.04,0,2.86,30,Blackfire Torch,Cryptbloom,Dark Seal
PYKE,Umbral Glaive,Legendary,0.54,0.2222,1.85,15,Youmuu's Ghostblade,Edge Of Night,Voltaic Cyclosword
GRAVES,Maw Of Malmortius,Legendary,0.0476,1,3.22,35,Bloodthirster,Infinity Edge,Lord Dominik's Regards
KARTHUS,Blighting Jewel,Epic,0.0238,0,1.30,25,Blackfire Torch,Shadowflame,
SHACO,Gustwalker Hatchling,Starter,0.04,0,1.00,5,Berserker's Greaves,Pickaxe,Youmuu's Ghostblade
XINZHAO,Recurve Bow,Epic,0.05,1,8.00,30,Black Cleaver,Hextech Gunblade,Sundered Sky
VEIGAR,Rod Of Ages,Legendary,0.4138,0.5,2.76,15,Rabadon's Deathcap,Actualizer,Cryptbloom
MORGANA,Aether Wisp,Epic,0.1538,0,1.33,25,Bandleglass Mirror,Fiendish Codex,Imperial Mandate
BELVETH,Steel Sigil,Epic,0.1905,0.25,2.72,20,Kraken Slayer,Stridebreaker,Caulfield's Warhammer
DIANA,Zhonya's Hourglass,Legendary,0.4074,0.5,2.69,25,Dusk And Dawn,Riftmaker,Hextech Rocketbelt
TAHMKENCH,Tiamat,Epic,0.0769,1,1.75,20,Dusk And Dawn,Phage,
GALIO,Zhonya's Hourglass,Legendary,0.26,0.4615,2.06,30,Riftmaker,Hollow Radiance,Hextech Rocketbelt
BRAND,Seeker's Armguard,Epic,0.0714,0.5,2.33,30,Rylai's Crystal Scepter,Blackfire Torch,Liandry's Torment
ALISTAR,Cloth Armor,Basic,0.2241,0.5385,2.25,10,Kindlegem,Boots Of Swiftness,Bandlepipes
VIKTOR,Doran's Ring,Starter,0.3333,0.4167,2.83,5,Blackfire Torch,Liandry's Torment,Sorcerer's Shoes
FIZZ,Cryptbloom,Legendary,0.0526,1,2.58,40,Dusk And Dawn,Rabadon's Deathcap,Shadowflame
DIANA,Hextech Alternator,Epic,0.0556,0.3333,1.65,10,Zhonya's Hourglass,Dusk And Dawn,Riftmaker
RYZE,Void Staff,Legendary,0.0449,0.5,1.48,30,Rod Of Ages,Frozen Heart,Rabadon's Deathcap
BRAUM,Bandlepipes,Legendary,0.7143,0.5,3.27,15,Locket Of The Iron Solari,Knight's Vow,Protoplasm Harness
LEONA,Cloth Armor,Basic,0.2,0.7273,2.03,10,Kindlegem,Plated Steelcaps,Bandlepipes
SYNDRA,Luden's Companion,Legendary,0.5246,0.6563,2.33,15,Shadowflame,Rabadon's Deathcap,Zhonya's Hourglass
ZAC,Bramble Vest,Epic,0.1481,0.75,4.53,20,Sunfire Aegis,Randuin's Omen,Spirit Visage
MORDEKAISER,Plated Steelcaps,Boots,0.5909,0.4615,1.56,15,Hextech Rocketbelt,Dusk And Dawn,Experimental Hexplate
ZAAHEN,Steel Sigil,Epic,0.1282,0.6,1.38,25,Sundered Sky,Trinity Force,Caulfield's Warhammer
BLITZCRANK,Plated Steelcaps,Boots,0.0333,0,1.27,20,Bandlepipes,Frozen Heart,Redemption
MISSFORTUNE,The Collector,Legendary,0.7931,0.6522,2.51,20,Infinity Edge,Youmuu's Ghostblade,Lord Dominik's Regards
NAAFIRI,Youmuu's Ghostblade,Legendary,0.0159,1,1.50,10,Edge Of Night,Opportunity,Voltaic Cyclosword
DIANA,Force Of Nature,Legendary,0.0093,0,1.50,25,Abyssal Mask,Dusk And Dawn,Riftmaker
KAYLE,Dusk And Dawn,Legendary,0.4138,0.5833,2.27,20,Nashor's Tooth,Rabadon's Deathcap,Void Staff
JAX,Control Ward,Consumable,0.0694,0.2,1.73,5,Trinity Force,Sundered Sky,Boots
VIKTOR,Stealth Ward,Trinket,0.1944,0.1429,1.67,5,Blackfire Torch,Dark Seal,Doran's Ring
KAYLE,Void Staff,Legendary,0.1724,0.6,2.25,30,Dusk And Dawn,Nashor's Tooth,Rabadon's Deathcap
XERATH,Refillable Potion,Consumable,0.0455,0,0.29,5,Amplifying Tome,Dark Seal,Doran's Ring
CHOGATH,Overlord's Bloodmail,Legendary,0.05,1,2.20,25,Heartsteel,Riftmaker,
ZERI,Immortal Shieldbow,Legendary,0.0968,1,2.23,30,Infinity Edge,Yun Tal Wildarrows,Fiendhunter Bolts
SWAIN,Mercury's Treads,Boots,0.2273,0.5,3.08,15,Rylai's Crystal Scepter,Liandry's Torment,Blackfire Torch
ELISE,Shadowflame,Legendary,0.5128,0.3,2.87,25,Stormsurge,Lich Bane,Rabadon's Deathcap
AMUMU,Sunfire Aegis,Legendary,0.25,0.5,2.93,15,Liandry's Torment,Abyssal Mask,Randuin's Omen
ZIGGS,Doran's Ring,Starter,0.5806,0.4444,2.11,5,Sorcerer's Shoes,Luden's Companion,Shadowflame
RIVEN,Control Ward,Consumable,0.0541,0.5,1.74,5,Axiom Arc,Ionian Boots Of Lucidity,Sundered Sky
SONA,Archangel's Staff,Legendary,0.02,1,4.00,30,Echoes Of Helia,,
POPPY,Iceborn Gauntlet,Legendary,0.1579,0.6667,2.99,15,Bandlepipes,"Jak'sho, The Protean",Serpent's Fang
SEJUANI,Boots,Boots,0.0714,0,1.22,5,Dusk And Dawn,Kaenic Rookern,Protoplasm Harness
LEESIN,Umbral Glaive,Legendary,0.0694,0.4,3.58,15,Profane Hydra,Opportunity,Edge Of Night
SORAKA,Mikael's Blessing,Legendary,0.0333,1,4.33,20,Moonstone Renewer,,
LEESIN,Edge Of Night,Legendary,0.0278,0.5,4.17,25,Umbral Glaive,Bastionbreaker,Opportunity
FIZZ,Amplifying Tome,Basic,0.1053,0,2.02,5,Lich Bane,Ionian Boots Of Lucidity,Rabadon's Deathcap
ILLAOI,Bramble Vest,Epic,0.125,0,1.00,10,Hexdrinker,Spear Of Shojin,
SHYVANA,Kraken Slayer,Legendary,0.25,1,2.00,15,Dusk And Dawn,,
KENNEN,Void Staff,Legendary,0.1714,0.6667,3.30,25,Shadowflame,Hextech Gunblade,Zhonya's Hourglass
SION,Tiamat,Epic,0.0513,0,2.10,10,Unending Despair,Bramble Vest,Giant's Belt
AATROX,Overlord's Bloodmail,Legendary,0.0217,1,1.75,25,Sundered Sky,,
ZAC,Glowing Mote,Basic,0.0741,0,1.20,5,Spectre's Cowl,Sunfire Aegis,Boots
ORNN,Boots,Boots,0.0244,1,6.00,10,Hollow Radiance,Kaenic Rookern,
KAYLE,Guinsoo's Rageblade,Legendary,0.1379,0,0.84,15,Hextech Gunblade,Nashor's Tooth,Kraken Slayer
TRUNDLE,Sheen,Epic,0.0909,1,0.00,10,,,
ALISTAR,Tear Of The Goddess,Starter,0.0172,0,1.00,10,Negatron Cloak,Plated Steelcaps,Ruby Crystal
SKARNER,Farsight Alteration,Trinket,0.5,0,2.00,30,Bandlepipes,Dead Man's Plate,Kindlegem
VEIGAR,Plated Steelcaps,Boots,0.0345,0,0.71,15,Hextech Rocketbelt,Zhonya's Hourglass,
RELL,Giant's Belt,Epic,0.0455,1,3.79,25,Kindlegem,Bandlepipes,Locket Of The Iron Solari
RELL,Null-Magic Mantle,Basic,0.0909,0.25,1.89,10,Kindlegem,Zeke's Convergence,Cloth Armor
GAREN,Serpent's Fang,Legendary,0.027,1,3.25,20,Stridebreaker,Youmuu's Ghostblade,
RENGAR,Randuin's Omen,Legendary,0.0175,0,2.00,30,Dead Man's Plate,Profane Hydra,Umbral Glaive
CAMILLE,Plated Steelcaps,Boots,0.4286,0.3333,1.47,20,Ravenous Hydra,Trinity Force,Steel Sigil
QIYANA,Umbral Glaive,Legendary,0.2456,0.6429,2.51,15,Profane Hydra,Serylda's Grudge,Edge Of Night
ANIVIA,Null-Magic Mantle,Basic,0.0278,0,1.80,10,Abyssal Mask,Kaenic Rookern,Mercury's Treads
JARVANIV,Serrated Dirk,Epic,0.0299,0.5,4.10,20,Axiom Arc,Profane Hydra,Serylda's Grudge
SYNDRA,Dark Seal,Starter,0.2459,0.5333,1.38,5,Luden's Companion,Blackfire Torch,Cosmic Drive
KATARINA,"Jak'sho, The Protean",Legendary,0.0179,0,1.70,30,Blade Of The Ruined King,Kraken Slayer,Terminus
VIKTOR,Hextech Alternator,Epic,0.0556,0.5,5.07,20,Lich Bane,Luden's Companion,Rabadon's Deathcap
KATARINA,Sheen,Epic,0.0179,0,1.50,20,Hextech Gunblade,,
KAISA,Terminus,Legendary,0.0485,0.4,2.32,25,Guinsoo's Rageblade,Kraken Slayer,Bloodthirster
JANNA,Ionian Boots Of Lucidity,Boots,0.1563,0.7,3.42,20,Shurelya's Battlesong,Redemption,Moonstone Renewer
FIDDLESTICKS,Banshee's Veil,Legendary,0.0714,0.5,3.65,25,Hextech Rocketbelt,Lich Bane,Rabadon's Deathcap
APHELIOS,Mercurial Scimitar,Legendary,0.0108,1,2.42,30,Infinity Edge,Lord Dominik's Regards,Runaan's Hurricane
JAX,Refillable Potion,Consumable,0.0694,1,2.45,5,Dusk And Dawn,Long Sword,Doran's Shield
SETT,Plated Steelcaps,Boots,0.4444,0.25,1.58,10,Stridebreaker,Sterak's Gage,Overlord's Bloodmail
ZYRA,Plated Steelcaps,Boots,0.0526,1,6.00,25,Banshee's Veil,Blighting Jewel,Liandry's Torment
JARVANIV,Profane Hydra,Legendary,0.6418,0.5349,3.77,10,Axiom Arc,Sundered Sky,Serylda's Grudge
MASTERYI,Wit's End,Legendary,0.2,0.8333,3.00,25,Kraken Slayer,Guinsoo's Rageblade,Blade Of The Ruined King
TWISTEDFATE,Stealth Ward,Trinket,0.2778,0.6,2.07,5,Rapid Firecannon,Lich Bane,Doran's Ring
NEEKO,Redemption,Legendary,0.0256,0,8.00,25,Abyssal Mask,Hextech Rocketbelt,
MAOKAI,Zeke's Convergence,Legendary,0.3,0.6667,2.41,15,Kaenic Rookern,Locket Of The Iron Solari,Trailblazer
WARWICK,Phage,Epic,0.0909,0,0.50,10,Kraken Slayer,Tiamat,
GAREN,Negatron Cloak,Epic,0.027,1,1.33,30,Mortal Reminder,Stormrazor,Stridebreaker
TWITCH,Recurve Bow,Epic,0.0152,0,1.70,10,Fiendhunter Bolts,Infinity Edge,Lord Dominik's Regards
JINX,Vampiric Scepter,Epic,0.0441,0.3333,2.41,35,Infinity Edge,Yun Tal Wildarrows,Mortal Reminder
JAYCE,Serpent's Fang,Legendary,0.2716,0.4545,3.47,20,Youmuu's Ghostblade,Opportunity,Serylda's Grudge
KAISA,Sorcerer's Shoes,Boots,0.0097,0,3.67,15,Cryptbloom,Horizon Focus,Luden's Companion
GALIO,Ruby Crystal,Basic,0.02,0,0.63,5,Cloth Armor,Bandlepipes,Plated Steelcaps
REKSAI,Essence Reaver,Legendary,0.0625,0,2.47,15,Infinity Edge,Titanic Hydra,Immortal Shieldbow
TWISTEDFATE,Banshee's Veil,Legendary,0.0278,0,2.57,30,Dusk And Dawn,Luden's Companion,
KARTHUS,Fiendish Codex,Epic,0.0238,1,2.17,15,Blackfire Torch,Liandry's Torment,Rabadon's Deathcap
DRAVEN,Control Ward,Consumable,0.0227,1,3.80,25,Berserker's Greaves,Bloodthirster,Essence Reaver
IRELIA,Sundered Sky,Legendary,0.1,0.3333,1.64,30,Blade Of The Ruined King,Death's Dance,Hullbreaker
SYLAS,Warden's Mail,Epic,0.0106,0,0.71,35,Hextech Rocketbelt,Riftmaker,Zhonya's Hourglass
VAYNE,Phantom Dancer,Legendary,0.0423,0.3333,1.89,25,Essence Reaver,Stormrazor,Blade Of The Ruined King
SMOLDER,Tunneler,Epic,0.0556,0.6667,2.42,15,Essence Reaver,Infinity Edge,Lord Dominik's Regards
ZED,Voltaic Cyclosword,Legendary,0.6667,0.4677,2.91,10,Serylda's Grudge,Axiom Arc,Edge Of Night
JAX,Tiamat,Epic,0.0278,1,2.53,20,Dusk And Dawn,Phage,Riftmaker
RYZE,Boots,Boots,0.0562,0.4,0.29,5,Rod Of Ages,Catalyst Of Aeons,Fiendish Codex
DARIUS,Null-Magic Mantle,Basic,0.122,0.4,1.84,10,Plated Steelcaps,Sterak's Gage,Stridebreaker
BRAUM,Ionian Boots Of Lucidity,Boots,0.0143,0,1.14,20,Bandlepipes,Kindlegem,
XAYAH,Stealth Ward,Trinket,0.0625,0,0.29,5,Doran's Blade,Infinity Edge,Stormrazor
SAMIRA,Bloodthirster,Legendary,0.16,0.25,3.32,25,Infinity Edge,The Collector,Lord Dominik's Regards
ORNN,Randuin's Omen,Legendary,0.0244,0,6.00,30,Hollow Radiance,Kaenic Rookern,Unending Despair
LUX,Refillable Potion,Consumable,0.0256,1,2.57,5,Aether Wisp,Control Ward,Dark Seal
BARD,Control Ward,Consumable,0.8462,0.5758,4.03,15,Boots Of Swiftness,Dead Man's Plate,Bandlepipes
CORKI,Essence Reaver,Legendary,0.4103,0.5313,2.73,15,Infinity Edge,The Collector,Rapid Firecannon
YUUMI,Bandleglass Mirror,Epic,0.2069,0.1667,3.68,10,Mikael's Blessing,Ardent Censer,Kindlegem
SONA,Health Potion,Consumable,0.02,1,6.00,5,Echoes Of Helia,Fiendish Codex,Ionian Boots Of Lucidity
NAAFIRI,Mortal Reminder,Legendary,0.0159,1,3.00,20,Axiom Arc,Profane Hydra,
JANNA,Cloth Armor,Basic,0.0469,0.3333,3.49,15,Kindlegem,Boots Of Swiftness,Bandlepipes
YORICK,Ruby Crystal,Basic,0.1667,0.5,1.92,5,Plated Steelcaps,Spear Of Shojin,Trinity Force
QUINN,Serpent's Fang,Legendary,0.375,0.6667,1.65,30,Edge Of Night,Profane Hydra,Lord Dominik's Regards
EZREAL,Plated Steelcaps,Boots,0.0308,1,3.14,20,Spear Of Shojin,Trinity Force,Caulfield's Warhammer
CORKI,Cloth Armor,Basic,0.0128,0,1.67,15,Boots,Trinity Force,
JAX,Warden's Mail,Epic,0.0139,1,1.60,45,"Jak'sho, The Protean",Sterak's Gage,Trinity Force
NIDALEE,Doran's Blade,Starter,0.0313,1,3.50,5,Amplifying Tome,Hextech Gunblade,Needlessly Large Rod
XERATH,Blasting Wand,Basic,0.0909,1,3.88,30,Luden's Companion,Rabadon's Deathcap,Sorcerer's Shoes
SERAPHINE,Control Ward,Consumable,0.375,0.6667,4.83,15,Ionian Boots Of Lucidity,Echoes Of Helia,Moonstone Renewer
ZAC,Fated Ashes,Epic,0.037,1,2.75,20,Hextech Rocketbelt,Spirit Visage,Warden's Mail
RIVEN,Mosstomper Seedling,Starter,0.027,0,0.43,5,Axiom Arc,Long Sword,Plated Steelcaps
FIORA,Refillable Potion,Consumable,0.0256,1,0.63,5,Doran's Blade,Hearthbound Axe,Phage
RENATA,Rabadon's Deathcap,Legendary,0.2222,0,2.46,25,Nashor's Tooth,Shadowflame,
MORGANA,Ionian Boots Of Lucidity,Boots,0.5385,0.1429,1.81,15,Aether Wisp,Blackfire Torch,Fated Ashes
TWITCH,Bloodthirster,Legendary,0.0303,0,1.54,35,Fiendhunter Bolts,Infinity Edge,Lord Dominik's Regards
SORAKA,Farsight Alteration,Trinket,0.0333,1,2.83,35,Control Ward,Ionian Boots Of Lucidity,Moonstone Renewer
AKSHAN,Immortal Shieldbow,Legendary,0.0196,0,1.60,25,Infinity Edge,Lord Dominik's Regards,Statikk Shiv
GRAGAS,Shadowflame,Legendary,0.2727,0.5,2.53,20,Lich Bane,Hextech Rocketbelt,Luden's Companion
IRELIA,Doran's Blade,Starter,0.4667,0.4286,1.41,5,Blade Of The Ruined King,Mercury's Treads,Plated Steelcaps
ZILEAN,Warden's Mail,Epic,0.0256,1,25.00,25,Bandlepipes,Glacial Buckler,Locket Of The Iron Solari
TRUNDLE,Trinity Force,Legendary,0.3636,0.75,2.39,15,Dead Man's Plate,Spirit Visage,Bandlepipes
FIDDLESTICKS,Sorcerer's Shoes,Boots,0.6429,0.2778,3.02,5,Hextech Rocketbelt,Zhonya's Hourglass,Shadowflame
MALPHITE,Bramble Vest,Epic,0.1831,0.5385,2.19,15,Frozen Heart,Sunfire Aegis,Kaenic Rookern
DARIUS,Hullbreaker,Legendary,0.0244,0,0.17,25,Stridebreaker,,
KENNEN,Amplifying Tome,Basic,0.1429,0.2,1.10,5,Hextech Gunblade,Shadowflame,Sorcerer's Shoes
DARIUS,Hearthbound Axe,Epic,0.0244,0,0.43,10,Phage,,
CHOGATH,Kindlegem,Epic,0.15,0.6667,2.43,25,Riftmaker,Dead Man's Plate,Hextech Rocketbelt
YASUO,Control Ward,Consumable,0.0156,0.5,1.44,5,B. F. Sword,Berserker's Greaves,Blade Of The Ruined King
JAYCE,Ruby Crystal,Basic,0.0494,1,2.23,20,Eclipse,Boots,Boots Of Swiftness
JAX,Kindlegem,Epic,0.0278,1,0.79,10,Dusk And Dawn,Fiendish Codex,Hextech Rocketbelt
KAISA,Mortal Reminder,Legendary,0.0194,0.5,3.44,30,Guinsoo's Rageblade,Kraken Slayer,Fiendhunter Bolts
AMBESSA,Steel Sigil,Epic,0.1277,0.5,3.07,25,Eclipse,Spear Of Shojin,Profane Hydra
ELISE,Stealth Ward,Trinket,0.0256,0,2.43,5,Rabadon's Deathcap,Shadowflame,Sorcerer's Shoes
ZED,Eclipse,Legendary,0.2688,0.4,2.11,10,Voltaic Cyclosword,Edge Of Night,Serylda's Grudge
LULU,Amplifying Tome,Basic,0.1481,0.5833,3.00,5,Ionian Boots Of Lucidity,Ardent Censer,Redemption
VI,Black Cleaver,Legendary,0.1,1,2.50,20,Sundered Sky,,
SION,Cloth Armor,Basic,0.0513,0,0.43,15,Plated Steelcaps,Sunfire Aegis,Unending Despair
RENGAR,Lord Dominik's Regards,Legendary,0.3509,0.95,3.80,25,Profane Hydra,Umbral Glaive,Edge Of Night
ASHE,Refillable Potion,Consumable,0.125,0.3333,2.67,5,Doran's Blade,Kraken Slayer,Phantom Dancer
YUUMI,Echoes Of Helia,Legendary,0.2414,0.4286,3.00,10,Moonstone Renewer,Mikael's Blessing,Ardent Censer
TEEMO,Doran's Ring,Starter,0.2857,0.5,0.75,5,Ruby Crystal,Boots Of Swiftness,Lost Chapter
SMOLDER,Mercury's Treads,Boots,0.0185,1,1.50,25,Essence Reaver,Maw Of Malmortius,Rapid Firecannon
ZAC,Hollow Radiance,Legendary,0.0741,0.5,7.79,10,Hextech Rocketbelt,Spirit Visage,Thornmail
ALISTAR,Control Ward,Consumable,0.8793,0.5686,3.24,15,Bandlepipes,Boots Of Swiftness,Kindlegem
BRIAR,Titanic Hydra,Legendary,0.7778,0.3571,2.11,15,Black Cleaver,Death's Dance,Spirit Visage
MONKEYKING,Stealth Ward,Trinket,0.2308,0.5,3.26,5,Doran's Blade,Sundered Sky,Tiamat
ZYRA,Bandleglass Mirror,Epic,0.0526,0,0.88,30,Liandry's Torment,,
LEONA,Bloodsong,Legendary,0.0182,1,5.67,20,Bandlepipes,Locket Of The Iron Solari,
RENGAR,Youmuu's Ghostblade,Legendary,0.1579,0.5556,3.77,15,Profane Hydra,Edge Of Night,Lord Dominik's Regards
VARUS,Giant's Belt,Epic,0.0328,0.75,2.02,25,Dusk And Dawn,Experimental Hexplate,Warden's Mail
FIDDLESTICKS,Randuin's Omen,Legendary,0.0357,1,3.00,20,Liandry's Torment,Shurelya's Battlesong,
DARIUS,Oracle Lens,Trinket,0.1707,0.5714,4.33,15,Stridebreaker,Negatron Cloak,Sterak's Gage
VLADIMIR,Cosmic Drive,Legendary,0.1579,0.5556,1.51,15,Riftmaker,Rabadon's Deathcap,
VEIGAR,Boots,Boots,0.0345,0,0.43,5,Hextech Alternator,Lost Chapter,
HWEI,Mejai's Soulstealer,Legendary,0.0455,1,2.25,25,Blackfire Torch,Shadowflame,
PYKE,Negatron Cloak,Epic,0.02,1,3.29,20,Edge Of Night,Frozen Heart,Youmuu's Ghostblade
AKALI,Sorcerer's Shoes,Boots,0.4194,0.5385,2.57,15,Hextech Gunblade,Shadowflame,Zhonya's Hourglass
SYLAS,Riftmaker,Legendary,0.5106,0.5625,2.65,20,Hextech Rocketbelt,Zhonya's Hourglass,Rod Of Ages
CHOGATH,Cloth Armor,Basic,0.1,0,1.17,15,Force Of Nature,Boots Of Swiftness,Heartsteel
DRAVEN,Stormrazor,Legendary,0.0455,1,2.03,30,Bloodthirster,Infinity Edge,Hubris
EZREAL,Mortal Reminder,Legendary,0.0154,0,1.57,25,Endless Hunger,Trinity Force,
VLADIMIR,Kaenic Rookern,Legendary,0.0175,1,2.00,25,Liandry's Torment,Riftmaker,
ZAC,"Jak'sho, The Protean",Legendary,0.0741,0,4.58,20,Spirit Visage,Sunfire Aegis,
ANIVIA,Oracle Lens,Trinket,0.1667,0.3333,2.90,10,Rod Of Ages,Control Ward,Blasting Wand
RENATA,Shadowflame,Legendary,0.1111,0,0.93,20,Nashor's Tooth,Rabadon's Deathcap,
RENEKTON,Death's Dance,Legendary,0.2462,0.5,3.23,30,Eclipse,Black Cleaver,Spear Of Shojin
